indicator_group,epa_short_name,in_2013_2014,2013_2014_dataset_s,2013_2014_epa_definition_s,in_2018_2019,2018_2019_dataset_s,2018_2019_epa_definition_s,in_2023_2024,2023_2024_dataset_s,2023_2024_epa_definition_s,cycle_presence,definition_comparison
Fish,CENTPIND,Yes,NRSA 1314 Fish Metric Values,% Centrarchidae individuals (minus Micropterus),No,,,Yes,NRSA 2324 Fish Metrics,% Centrarchidae individuals (minus Micropterus),2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,CENTPTAX,Yes,NRSA 1314 Fish Metric Values,% Centrarchidae taxa (minus Micropterus),No,,,Yes,NRSA 2324 Fish Metrics,% Centrarchidae taxa (minus Micropterus),2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,CENTPTAX_PT,Yes,NRSA 1314 Fish MMI,Traditional MMI metric score for CENTPTAX,Yes,NRSA 1819 Fish MMI,Traditional MMI metric score for CENTPTAX,Yes,NRSA 2324 Fish MMI,Traditional MMI metric score for CENTPTAX,All three cycles,Same/equivalent EPA label across available cycles
Fish,COLDNTAX,Yes,NRSA 1314 Fish Metric Values,No. coldwater taxa,No,,,Yes,NRSA 2324 Fish Metrics,No. coldwater taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,COLDPIND,Yes,NRSA 1314 Fish Metric Values,% coldwater individuals,No,,,Yes,NRSA 2324 Fish Metrics,% coldwater individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,COLDPTAX,Yes,NRSA 1314 Fish Metric Values,% coldwater taxa,No,,,Yes,NRSA 2324 Fish Metrics,% coldwater taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,CONDITION_CODE,No,,,Yes,NRSA 1819 Mercury in Fish Tissue Plugs,Condition of sample code,Yes,NRSA 2324 Mercury in Fish Tissue Plugs,Condition of sample code,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,CONDUCTIVITY,No,,,Yes,NRSA 1819 Fish Sampling Information,Conductivity (uS/cm),No,,,2018–2019 only,Not comparable across cycles
Fish,CORRECTED,No,,,Yes,NRSA 1819 Fish Sampling Information,Corrected to 25C,No,,,2018–2019 only,Not comparable across cycles
Fish,COUNT_12,No,,,No,,,Yes,NRSA 2324 Fish Count,Tally of fish between 150 and 300 mm total length,2023–2024 only,Not comparable across cycles
Fish,COUNT_18,No,,,No,,,Yes,NRSA 2324 Fish Count,Tally of fish between 300 and 450 mm total length,2023–2024 only,Not comparable across cycles
Fish,COUNT_19,No,,,No,,,Yes,NRSA 2324 Fish Count,Tally of fish > 450 mm total length,2023–2024 only,Not comparable across cycles
Fish,COUNT_6,No,,,No,,,Yes,NRSA 2324 Fish Count,Tally of fish < 150 mm total length,2023–2024 only,Not comparable across cycles
Fish,CYPRNTAX,Yes,NRSA 1314 Fish Metric Values,Number of Cyprinidae taxa,No,,,Yes,NRSA 2324 Fish Metrics,Number of Cyprinidae taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,CYPRNTAX_PT,Yes,NRSA 1314 Fish MMI,Traditional MMI metric score for CYPRNTAX,Yes,NRSA 1819 Fish MMI,Traditional MMI metric score for CYPRNTAX,Yes,NRSA 2324 Fish MMI,Traditional MMI metric score for CYPRNTAX,All three cycles,Same/equivalent EPA label across available cycles
Fish,CYPRPIND,Yes,NRSA 1314 Fish Metric Values,% Cyprinidae individuals,No,,,Yes,NRSA 2324 Fish Metrics,% Cyprinidae individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,CYPRPTAX,Yes,NRSA 1314 Fish Metric Values,% Cyprinidae taxa,No,,,Yes,NRSA 2324 Fish Metrics,% Cyprinidae taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,CYPRPTAX_WS,Yes,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for CYPRPTAX,Yes,NRSA 1819 Fish MMI,Traditional MMI watershed adjusted value for CYPRPTAX,Yes,NRSA 2324 Fish MMI,Traditional MMI watershed adjusted value for CYPRPTAX,All three cycles,Same/equivalent EPA label across available cycles
Fish,CYPRPTAX_WS_PT,Yes,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for CYPRPTAX,Yes,NRSA 1819 Fish MMI,Traditional MMI watershed adjusted metric score for CYPRPTAX,Yes,NRSA 2324 Fish MMI,Traditional MMI watershed adjusted metric score for CYPRPTAX,All three cycles,Same/equivalent EPA label across available cycles
Fish,DATE_COL,Yes,NRSA 1314 Fish MMI | NRSA 1314 Fish Counts | NRSA 1314 Fish Metric Values | NRSA 1314 Mercury in Fish Tissue Plugs,Date of data collection in field,Yes,NRSA 1819 Mercury in Fish Tissue Plugs | NRSA 1819 Fish Sampling Information | NRSA 1819 Fish Count | NRSA 1819 Fish MMI,Date collected | Date of data collection in field,Yes,NRSA 2324 Fish Count | NRSA 2324 Fish Metrics | NRSA 2324 Fish MMI | NRSA 2324 Mercury in Fish Tissue Plugs,Date of data collection in field,All three cycles,Same/equivalent EPA label across available cycles
Fish,DATE_PROCESSED,No,,,Yes,NRSA 1819 Mercury in Fish Tissue Plugs,Date sample processed,Yes,NRSA 2324 Mercury in Fish Tissue Plugs,Date sample processed,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,DILUTION,No,,,Yes,NRSA 1819 Mercury in Fish Tissue Plugs,Dilution of sample,Yes,NRSA 2324 Mercury in Fish Tissue Plugs,Dilution of sample,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,EPA_REG,No,,,Yes,NRSA 1819 Fish Count | NRSA 1819 Fish MMI,"EPA Region. No missing or \blank\"" values allowed.""",No,,,2018–2019 only,Not comparable across cycles
Fish,FAM_OR_CLS,Yes,NRSA 1314 Fish Taxa List,Family or class,No,,,Yes,NRSA 2324 Fish Taxa List,Family or class,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,FAMILY,Yes,NRSA 1314 Fish Taxa List,Final taxon name within fish samples,No,,,Yes,NRSA 2324 Fish Taxa List,Final taxon name within fish samples,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,FINAL_NAME,Yes,NRSA 1314 Fish Counts | NRSA 1314 Fish Taxa List,Final common name assigned to fish count data,Yes,NRSA 1819 Fish Count,Final common name assigned to fish count data,Yes,NRSA 2324 Fish Count | NRSA 2324 Fish Taxa List,Final common name assigned to fish count data,All three cycles,Same/equivalent EPA label across available cycles
Fish,FISH_MMI_COND,No,,,Yes,NRSA 1819 Fish MMI,"Fish assemblage condition, based on regional Fish MMI.",Yes,NRSA 2324 Fish MMI,"Fish assemblage condition, based on regional Fish MMI.",2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,FISH_PROTOCOL,Yes,NRSA 1314 Fish Metric Values,Fish Sampling protocol,Yes,NRSA 1819 Fish Sampling Information,Fish Sampling Protocol,No,,,2013–2014 + 2018–2019,Same/equivalent EPA label across available cycles
Fish,FISH_PROTOCOL_FLAG,No,,,Yes,NRSA 1819 Fish Sampling Information,Flag associated with Fish Sampling Protocol,No,,,2018–2019 only,Not comparable across cycles
Fish,FISH_RESPONSE,No,,,Yes,NRSA 1819 Fish Sampling Information,How did fish respond to electrofishing?,No,,,2018–2019 only,Not comparable across cycles
Fish,FISH_SAMPLING,Yes,NRSA 1314 Fish MMI | NRSA 1314 Fish Metric Values,Fish Sampling - not conducted or suspended,Yes,NRSA 1819 Fish Sampling Information,Fish Sampling - Not Conducted or Suspended,Yes,NRSA 2324 Fish Count,Fish Sampling - not conducted or suspended,All three cycles,Same/equivalent EPA label across available cycles
Fish,FISH_SAMPLING_FLAG,No,,,Yes,NRSA 1819 Fish Sampling Information,Flag associated with Fish Sampling - Not Conducted or Suspended,No,,,2018–2019 only,Not comparable across cycles
Fish,FISH_SAMPLING_SUFFICIENT,No,,,Yes,NRSA 1819 Fish Sampling Information,Did conditions allow for sufficient sampling?,No,,,2018–2019 only,Not comparable across cycles
Fish,FISHGEAR_REVIEW,No,,,Yes,NRSA 1819 Fish Sampling Information,FISHGEAR_REVIEW,No,,,2018–2019 only,Not comparable across cycles
Fish,GENUS,Yes,NRSA 1314 Fish Taxa List,"Genus of taxon, if available",No,,,Yes,NRSA 2324 Fish Taxa List,"Genus of taxon, if available",2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,HABITAT_NRSA,Yes,NRSA 1314 Fish Taxa List,"Habitat preferences,W-water column,B-Benthic,E-Edge",No,,,Yes,NRSA 2324 Fish Taxa List,"Habitat preferences,W-water column,B-Benthic,E-Edge",2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,HERBNTAX,Yes,NRSA 1314 Fish Metric Values,Number of herbivores taxa,No,,,Yes,NRSA 2324 Fish Metrics,Number of herbivores taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,HERBPIND,Yes,NRSA 1314 Fish Metric Values,% herbivores individuals,No,,,Yes,NRSA 2324 Fish Metrics,% herbivores individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,HERBPTAX,Yes,NRSA 1314 Fish Metric Values,% herbivores taxa,No,,,Yes,NRSA 2324 Fish Metrics,% herbivores taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,HERBPTAX_PT,Yes,NRSA 1314 Fish MMI,Traditional MMI metric score for HERBPTAX,Yes,NRSA 1819 Fish MMI,Traditional MMI metric score for HERBPTAX,Yes,NRSA 2324 Fish MMI,Traditional MMI metric score for HERBPTAX,All three cycles,Same/equivalent EPA label across available cycles
Fish,HERP,Yes,NRSA 1314 Fish Taxa List,"A=amphibian, R=reptile",No,,,No,,,2013–2014 only,Not comparable across cycles
Fish,HIGH_GRADIENT,No,,,Yes,NRSA 1819 Fish Sampling Information,Fast flowing high gradient site,No,,,2018–2019 only,Not comparable across cycles
Fish,ICTANTAX,Yes,NRSA 1314 Fish Metric Values,No. Ictalurid taxa,No,,,Yes,NRSA 2324 Fish Metrics,No. Ictalurid taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,ICTAPIND,Yes,NRSA 1314 Fish Metric Values,% Ictalurid individuals,No,,,Yes,NRSA 2324 Fish Metrics,% Ictalurid individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,ICTAPTAX,Yes,NRSA 1314 Fish Metric Values,% Ictalurid taxa,No,,,Yes,NRSA 2324 Fish Metrics,% Ictalurid taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INDEX_VISIT,Yes,NRSA 1314 Fish MMI | NRSA 1314 Fish Counts | NRSA 1314 Fish Metric Values | NRSA 1314 Mercury in Fish Tissue Plugs,Index visit Y/blank,No,,,No,,,2013–2014 only,Not comparable across cycles
Fish,INSTRUMENT,No,,,Yes,NRSA 1819 Mercury in Fish Tissue Plugs,Instrument used,Yes,NRSA 2324 Mercury in Fish Tissue Plugs,Instrument used,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INTLCARNNTAX,Yes,NRSA 1314 Fish Metric Values,No. of intolerant carnivore taxa,No,,,Yes,NRSA 2324 Fish Metrics,No. of intolerant carnivore taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INTLCARNPIND,Yes,NRSA 1314 Fish Metric Values,% intolerant carnivore individuals,No,,,Yes,NRSA 2324 Fish Metrics,% intolerant carnivore individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INTLCARNPTAX,Yes,NRSA 1314 Fish Metric Values,% intolerant carnivore taxa,No,,,Yes,NRSA 2324 Fish Metrics,% intolerant carnivore taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INTLINVNTAX,Yes,NRSA 1314 Fish Metric Values,Number of intolerant invertivore taxa,No,,,Yes,NRSA 2324 Fish Metrics,Number of intolerant invertivore taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INTLINVPIND,Yes,NRSA 1314 Fish Metric Values,% intolerant invertivore individuals,No,,,Yes,NRSA 2324 Fish Metrics,% intolerant invertivore individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INTLINVPTAX,Yes,NRSA 1314 Fish Metric Values,% intolerant invertivore taxa,No,,,Yes,NRSA 2324 Fish Metrics,% intolerant invertivore taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INTLINVPTAX_PT,Yes,NRSA 1314 Fish MMI,Traditional MMI metric score for INTLINVPTAX,Yes,NRSA 1819 Fish MMI,Traditional MMI metric score for INTLINVPTAX,Yes,NRSA 2324 Fish MMI,Traditional MMI metric score for INTLINVPTAX,All three cycles,Same/equivalent EPA label across available cycles
Fish,INTLLOTNTAX,Yes,NRSA 1314 Fish Metric Values,Number of intolerant lotic taxa,No,,,Yes,NRSA 2324 Fish Metrics,Number of intolerant lotic taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INTLLOTNTAX_WS,Yes,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for INTLLOTNTAX,Yes,NRSA 1819 Fish MMI,Traditional MMI watershed adjusted value for INTLLOTNTAX,Yes,NRSA 2324 Fish MMI,Traditional MMI watershed adjusted value for INTLLOTNTAX,All three cycles,Same/equivalent EPA label across available cycles
Fish,INTLLOTNTAX_WS_PT,Yes,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for INTLLOTNTAX,Yes,NRSA 1819 Fish MMI,Traditional MMI watershed adjusted metric score for INTLLOTNTAX,Yes,NRSA 2324 Fish MMI,Traditional MMI watershed adjusted metric score for INTLLOTNTAX,All three cycles,Same/equivalent EPA label across available cycles
Fish,INTLLOTPIND,Yes,NRSA 1314 Fish Metric Values,% intolerant lotic individuals,No,,,Yes,NRSA 2324 Fish Metrics,% intolerant lotic individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INTLLOTPTAX,Yes,NRSA 1314 Fish Metric Values,% intolerant lotic taxa,No,,,Yes,NRSA 2324 Fish Metrics,% intolerant lotic taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INTLLOTPTAX_WS,Yes,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for INTLLOTPTAX,Yes,NRSA 1819 Fish MMI,Traditional MMI watershed adjusted value for INTLLOTPTAX,Yes,NRSA 2324 Fish MMI,Traditional MMI watershed adjusted value for INTLLOTPTAX,All three cycles,Same/equivalent EPA label across available cycles
Fish,INTLLOTPTAX_WS_PT,Yes,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for INTLLOTPTAX,Yes,NRSA 1819 Fish MMI,Traditional MMI watershed adjusted metric score for INTLLOTPTAX,Yes,NRSA 2324 Fish MMI,Traditional MMI watershed adjusted metric score for INTLLOTPTAX,All three cycles,Same/equivalent EPA label across available cycles
Fish,INTLMIGRNTAX,Yes,NRSA 1314 Fish Metric Values,Number of intolerant migratory taxa,No,,,Yes,NRSA 2324 Fish Metrics,Number of intolerant migratory taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INTLMIGRNTAX_PT,Yes,NRSA 1314 Fish MMI,Traditional MMI metric score for INTLMIGRNTAX,Yes,NRSA 1819 Fish MMI,Traditional MMI metric score for INTLMIGRNTAX,Yes,NRSA 2324 Fish MMI,Traditional MMI metric score for INTLMIGRNTAX,All three cycles,Same/equivalent EPA label across available cycles
Fish,INTLMIGRPIND,Yes,NRSA 1314 Fish Metric Values,% intolerant migratory individuals,No,,,Yes,NRSA 2324 Fish Metrics,% intolerant migratory individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INTLMIGRPIND_PT,Yes,NRSA 1314 Fish MMI,Traditional MMI metric score for INTLMIGRPIND,Yes,NRSA 1819 Fish MMI,Traditional MMI metric score for INTLMIGRPIND,Yes,NRSA 2324 Fish MMI,Traditional MMI metric score for INTLMIGRPIND,All three cycles,Same/equivalent EPA label across available cycles
Fish,INTLMIGRPTAX,Yes,NRSA 1314 Fish Metric Values,% intolerant migratory taxa,No,,,Yes,NRSA 2324 Fish Metrics,% intolerant migratory taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INTLMIGRPTAX_PT,Yes,NRSA 1314 Fish MMI,Score for INTLMIGRPTAX used in MMI,Yes,NRSA 1819 Fish MMI,Score for INTLMIGRPTAX used in MMI,Yes,NRSA 2324 Fish MMI,Score for INTLMIGRPTAX used in MMI,All three cycles,Same/equivalent EPA label across available cycles
Fish,INTLNTAX,Yes,NRSA 1314 Fish Metric Values,No. distinct intolerant taxa based on TOLERANCE_NRSA,No,,,Yes,NRSA 2324 Fish Metrics,No. distinct intolerant taxa based on TOLERANCE_NRSA,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INTLPIND,Yes,NRSA 1314 Fish Metric Values,% Intolerant individuals based on TOLERANCE_NRSA,No,,,Yes,NRSA 2324 Fish Metrics,% Intolerant individuals based on TOLERANCE_NRSA,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INTLPTAX,Yes,NRSA 1314 Fish Metric Values,% Intolerant taxa based on TOLERANCE_NRSA,No,,,Yes,NRSA 2324 Fish Metrics,% Intolerant taxa based on TOLERANCE_NRSA,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INTLPTAX_PT,Yes,NRSA 1314 Fish MMI,Traditional MMI metric score for INTLPTAX,Yes,NRSA 1819 Fish MMI,Traditional MMI metric score for INTLPTAX,Yes,NRSA 2324 Fish MMI,Traditional MMI metric score for INTLPTAX,All three cycles,Same/equivalent EPA label across available cycles
Fish,INTLRHEONTAX,Yes,NRSA 1314 Fish Metric Values,Number of intolerant rheophilic taxa,No,,,Yes,NRSA 2324 Fish Metrics,Number of intolerant rheophilic taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INTLRHEOPIND,Yes,NRSA 1314 Fish Metric Values,% intolerant rheophilic individuals,No,,,Yes,NRSA 2324 Fish Metrics,% intolerant rheophilic individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INTLRHEOPTAX,Yes,NRSA 1314 Fish Metric Values,% intolerant rheophilic taxa,No,,,Yes,NRSA 2324 Fish Metrics,% intolerant rheophilic taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INVNTAX,Yes,NRSA 1314 Fish Metric Values,Number of invertivore taxa,No,,,Yes,NRSA 2324 Fish Metrics,Number of invertivore taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INVNTAX_PT,Yes,NRSA 1314 Fish MMI,Traditional MMI metric score for INVNTAX,Yes,NRSA 1819 Fish MMI,Traditional MMI metric score for INVNTAX,Yes,NRSA 2324 Fish MMI,Traditional MMI metric score for INVNTAX,All three cycles,Same/equivalent EPA label across available cycles
Fish,INVPIND,Yes,NRSA 1314 Fish Metric Values,% invertivore individuals,No,,,Yes,NRSA 2324 Fish Metrics,% invertivore individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INVPIND_WS,Yes,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for INVPIND,Yes,NRSA 1819 Fish MMI,Traditional MMI watershed adjusted value for INVPIND,Yes,NRSA 2324 Fish MMI,Traditional MMI watershed adjusted value for INVPIND,All three cycles,Same/equivalent EPA label across available cycles
Fish,INVPIND_WS_PT,Yes,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for INVPIND,Yes,NRSA 1819 Fish MMI,Traditional MMI watershed adjusted metric score for INVPIND,Yes,NRSA 2324 Fish MMI,Traditional MMI watershed adjusted metric score for INVPIND,All three cycles,Same/equivalent EPA label across available cycles
Fish,INVPTAX,Yes,NRSA 1314 Fish Metric Values,% invertivore taxa,No,,,Yes,NRSA 2324 Fish Metrics,% invertivore taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,INVPTAX_PT,Yes,NRSA 1314 Fish MMI,Score for INVPTAX used in MMI,Yes,NRSA 1819 Fish MMI,Score for INVPTAX used in MMI,Yes,NRSA 2324 Fish MMI,Score for INVPTAX used in MMI,All three cycles,Same/equivalent EPA label across available cycles
